Ciclo,Inicio,Fim,Estados únicos,Motivos únicos,Quantidade Linhas PreBack,Quantidade Linhas Backtest
D158,2023-05-22 15:39:00,2023-05-22 15:49:00,['desativada'],['Mantém estado'],4,4
D159,2023-05-22 16:06:00,2023-05-22 16:22:00,['desativada'],['Mantém estado'],3,3
D160,2023-05-22 16:39:00,2023-05-23 09:49:00,['desativada'],['Mantém estado'],15,15
D161,2023-05-23 10:02:00,2023-05-23 10:51:00,['desativada'],['Mantém estado'],10,10
D162,2023-05-23 10:55:00,2023-05-23 11:05:00,['desativada'],['Mantém estado'],3,3
D163,2023-05-23 12:15:00,2023-05-23 12:27:00,['desativada'],['Mantém estado'],3,3
D164,2023-05-23 12:38:00,2023-05-23 13:37:00,['desativada'],['Mantém estado'],10,10
D165,2023-05-23 13:51:00,2023-05-25 11:25:00,['desativada'],['Mantém estado'],131,131
D166,2023-05-25 11:50:00,2023-05-31 12:52:00,['desativada'],['Mantém estado'],316,316
D167,2023-05-31 13:07:00,2023-05-31 13:16:00,['desativada'],['Mantém estado'],3,3
D168,2023-05-31 13:26:00,2023-05-31 13:39:00,['desativada'],['Mantém estado'],3,3
D169,2023-05-31 14:16:00,2023-05-31 14:25:00,['desativada'],['Mantém estado'],4,4
D170,2023-05-31 14:27:00,2023-05-31 14:44:00,['desativada'],['Mantém estado'],3,3
D171,2023-05-31 15:16:00,2023-05-31 16:12:00,['desativada'],['Mantém estado'],12,12
D172,2023-05-31 16:53:00,2023-05-31 17:12:00,['desativada'],['Mantém estado'],4,4
D173,2023-10-25 13:16:43,2023-10-25 13:55:52,['desativada'],['Mantém estado'],7,7
D174,2023-10-25 14:28:25,2023-10-25 15:09:23,['desativada'],['Mantém estado'],7,7
D175,2023-10-25 15:55:04,2023-10-25 16:25:07,['desativada'],['Mantém estado'],4,4
D176,2023-10-25 16:37:12,2023-10-26 10:16:12,['desativada'],['Mantém estado'],18,18
D177,2023-10-26 10:28:56,2023-10-26 10:47:43,['desativada'],['Mantém estado'],3,3
D178,2023-10-26 11:26:27,2023-10-26 12:06:55,['desativada'],['Mantém estado'],5,5
D179,2023-10-26 12:46:03,2023-10-27 11:05:51,['desativada'],['Mantém estado'],59,59
D180,2023-10-27 12:14:28,2023-10-27 13:42:25,['desativada'],['Mantém estado'],12,12
D181,2023-10-27 13:52:13,2023-10-27 14:00:18,['desativada'],['Mantém estado'],2,2
D182,2023-10-27 14:56:42,2023-11-01 14:06:07,['desativada'],['Mantém estado'],178,178
D183,2023-11-01 14:32:12,2023-11-01 15:00:02,['desativada'],['Mantém estado'],5,5
D184,2023-11-01 15:13:33,2023-11-01 16:14:55,['desativada'],['Mantém estado'],7,7
D185,2023-11-01 16:31:12,2023-11-01 17:36:23,['desativada'],['Mantém estado'],8,8
D186,2023-11-03 10:15:47,2023-11-06 17:54:28,['desativada'],['Mantém estado'],138,138
D187,2023-11-07 10:01:27,2023-11-07 10:46:05,['desativada'],['Mantém estado'],9,9
D188,2023-11-07 11:16:06,2023-11-07 11:46:14,['desativada'],['Mantém estado'],6,6
D189,2023-11-07 11:55:01,2023-11-07 16:36:47,['desativada'],['Mantém estado'],47,47
D190,2023-11-07 16:45:07,2023-11-08 10:05:03,['desativada'],['Mantém estado'],24,24
D191,2023-11-08 10:12:06,2023-11-08 10:46:13,['desativada'],['Mantém estado'],6,6
D192,2023-11-08 10:55:28,2023-11-08 11:15:54,['desativada'],['Mantém estado'],3,3
D193,2023-11-08 11:28:16,2023-11-13 10:34:05,['desativada'],['Mantém estado'],174,174
D194,2023-11-13 11:18:05,2023-11-13 13:11:08,['desativada'],['Mantém estado'],20,20
D195,2023-11-13 13:23:28,2023-11-13 14:33:32,['desativada'],['Mantém estado'],14,14
